Application: ACCV_BLDC
Version:     0.2.8.11
Build:       20131029

Angle	Value
0	0.177883
4	0.181485
8	0.177263
12	0.160720
16	0.140571
20	0.133563
24	0.132405
28	0.129925
32	0.121168
36	0.116266
40	0.120538
44	0.118764
48	0.113832
52	0.115485
56	0.119059
60	0.121871
64	0.131132
68	0.136865
72	0.130735
76	0.128787
80	0.136824
84	0.147551
88	0.137845
92	0.128611
96	0.128641
100	0.129177
104	0.117638
108	0.104029
112	0.100638
116	0.100562
120	0.102443
124	0.097816
128	0.097554
132	0.096358
136	0.095870
140	0.100202
144	0.102628
148	0.104137
152	0.104253
156	0.103700
160	0.111524
164	0.120846
168	0.126988
172	0.134905
176	0.143437
180	0.151411
184	0.155720
188	0.141928
192	0.147719
196	0.158419
200	0.152653
204	0.139366
208	0.128311
212	0.123504
216	0.130040
220	0.141599
224	0.129480
228	0.121493
232	0.124083
236	0.141158
240	0.139463
244	0.152641
248	0.148078
252	0.168555
256	0.168114
260	0.180351
264	0.201203
268	0.207343
272	0.204250
276	0.214174
280	0.216204
284	0.207271
288	0.193938
292	0.189377
296	0.184602
300	0.179836
304	0.173120
308	0.174890
312	0.166526
316	0.172470
320	0.167293
324	0.173621
328	0.179142
332	0.180672
336	0.189402
340	0.193476
344	0.191980
348	0.206092
352	0.199246
356	0.203260
