GPS	Site	Street Address	City	ST	Zip	Location on Site	First Screen
38.97443335983215 -90.44071108102798	Aerie's Riverview Winery	203 Mulberry St	Grafton	IL	62037	Top of the hill on deck 	In the early 1800s, James Mason purchased the land that is now Grafton. Rich Brooks,  Artist
38.60821152191413 -90.48633813858032	AKC Museum of the Dog	1721 S Mason Rd	Ballwin	MO	63011	Right side of museum entrance	Only museum in the world dedicated to 17th century and on dog art.  Lindsay Harmon, Artist
38.89073637610905 -90.18389761447906	Alton City Hall	101 E 3rd St	Alton	IL	62002	Inside by staircase	Rufus Easton developed Alton as a river town in 1818. Screwed Artist Collective, Artist
38.89055892282516 -90.18683061003685	Alton Visitors Center	200 Piasa St.	Alton	IL	62002	outside of main entrance	Nearby, a park features 2  statues of Lincoln & Douglas, commemorating Senate debate in 1858. Renee Bearden-Williams, Artist
38.62189810866402 -90.21008670330048	Ameren	1901 Chouteau Ave.	St. Louis	MO	63103	Colonnade on west side of main drive	Ameren electrified the 1904 World's Fair. Rudy Zaph, Artist
38.630954337431476 -90.19218496978283	America's Center (Cervantes Convention Center)	701 Convention Plaza	St. Louis	MO	63101	West Washington Ave. lobby 	America's Center (Cervantes Convention Center) - Stacey Sandweg and Gary Lang, Artists  
38.70189061515981 -90.170738697052	America's Central Port / YMCA	451 E Niedringhaus Ave	Granite City	IL	62040	Outside by parking lot	The most northerly ice-free port on the Mississippi River. Kathy Lynott, Artist
38.5993284429309 -90.21410867571831	Anheuser-Busch Brewery	1200 Lynch Street	St. Louis	MO	63118	In front of Tour Center	Founded in 1852 - is the  largest brewer in the US.  Julie Krovicka and Ian Greenlee, Artists.
38.65967013666694 -90.23670494556427	Annie Malone 	2612 Annie Malone Drive	St. Louis	MO	63113	Outside - in front of main stairs	Annie Malone - Theresa Hopkins, Artist
38.63493071198425 -90.1813092827797	Ashley Street Power House / Riverfront Trail 	Corner of Biddle and Lenore K. Sullivan	St. Louis	MO	63102	Outside by Riverfront Trail head.	Built in 1902 by engineer/architect Charles Ledlic. Theresa Hopkins, Artist
38.617503365088915 -90.69012969732285	Babler State Park	800 Guy Park Dr.	Chesterfield	MO	63005	Next to Visitor's Center	22 structures in park are on the National Register of Historic Places. Artist, Kelly Harmon
38.57636261144783 -90.47188595529269	Barretts Elementary School	1780 Carman Road	Ballwin	MO	63021	Outside in front of main entrance	Original school in the Parkway School District - Public Vote Winner. Barrett's Students, Artists
38.62374735347725 -90.18742337822914	Basilica of Saint Louis, King of France (Old Cathedral)	209 Walnut Street 	St. Louis	MO	63102	Outside within stone wall adjacent to parking lot	Public Vote Winner - First cathedral west of the Mississippi River. Vince Sciaroni, Artist
38.69085982412851 -90.2351787686348	Bellefontaine Cemetery 	4947 W Florissant Ave	St. Louis	MO	63115	Inside main entrance 	87,000+ St. Louisans rest here including explorer William Clark, beer baron Adolphus Busch, abolitionist John Barry Meachum. Lindsey Sciaroni, Artist
38.5817034892055 -90.2669508755207	Bevo Mill	749 Gravois Road	St. Louis	MO	63116	Sidewalk outside building.	Built in 1916 by Anheuser-Busch.  Gonz Jove, Artist
38.63833811887499 -90.23222297430038	Big Brothers Big Sisters of Eastern Missouri	501 North Grand	St. Louis	MO	63103	Outside at Grand and Olive	Celebrating 100 years.  Located in Woolworth building, a key civil rights site in STL. Laura Weinrich, Artist
38.41293946342521 -90.68249881267548	Black Madonna Shrine and Grottos	100 Saint Joseph's Hill Road	Pacific	MO	63069	Open triangle by Nativity Walk Pathway	Hand built over a span of 23 years by Franciscan Brother Bronislaus Luczc.  Craig Downs, Artist
38.364774544898154 -90.36392211914062	Blue Owl	6116 2nd St	Kimmswick	MO	63053	Outside of main entrance	Located in historic Kimmswick founded in 1859. Stuart Schuchardt, Artist
38.65593849917534 -90.30495375394821	Blueberry Hill	6505 Delmar	University City	MO	63130	Outside of main entrance	Landmark restaurant and music club that started the revitalization of The Loop.- Indy Bowers, Artist
