  -88.988100    39.847158,   180.000000 1888 519   0
  -88.987773    39.847163,  -169.999790 1898 529  10
  -88.987443    39.847123,  -159.999579 1908 539  20
  -88.987122    39.847038,  -149.999374 1918 549  30
  -88.986820    39.846909,  -139.999180 1928 559  40
  -88.986548    39.846737,  -129.999005 1938 569  50
  -88.986314    39.846528,  -119.998856 1948 579  60
  -88.986129    39.846286,  -109.998737 1958 589  70
  -88.985999    39.846019,   -99.998654 1968 599  80
  -88.985931    39.845733,   -89.998610 1978 609  90
  -88.985929    39.845438,   -79.998609 1988 619 100
  -88.985995    39.845142,   -69.998651 1998 629 110
  -88.986129    39.844856,   -59.998737 2008 639 120
