index	latitude	longitude
x1	N39 50.650	W88 57.505
x2	N39 50.650	W88 57.515
x3	N39 50.650	W88 57.525
x4	N39 50.650	W88 57.535
x5	N39 50.650	W88 57.605
x6	N39 50.650	W88 57.615
x7	N39 50.650	W88 57.625
x8	N39 50.650	W88 57.635
x9	N39 50.650	W88 57.705
x10	N39 50.650	W88 57.715
x11	N39 50.650	W88 57.725
x12	N39 50.650	W88 57.735
x13	N39 50.650	W88 57.805
x14	N39 50.650	W88 57.815
x15	N39 50.650	W88 57.825
x16	N39 50.650	W88 57.835
x17	N39 50.660	W88 57.505
x18	N39 50.660	W88 57.515
x19	N39 50.660	W88 57.525
x20	N39 50.660	W88 57.535
x21	N39 50.660	W88 57.605
x22	N39 50.660	W88 57.615
x23	N39 50.660	W88 57.625
x24	N39 50.660	W88 57.635
x25	N39 50.660	W88 57.705
x26	N39 50.660	W88 57.715
x27	N39 50.660	W88 57.725
x28	N39 50.660	W88 57.735
x29	N39 50.660	W88 57.805
x30	N39 50.660	W88 57.815
x31	N39 50.660	W88 57.825
x32	N39 50.660	W88 57.835
x33	N39 50.670	W88 57.505
x34	N39 50.670	W88 57.515
x35	N39 50.670	W88 57.525
x36	N39 50.670	W88 57.535
x37	N39 50.670	W88 57.605
x38	N39 50.670	W88 57.615
x39	N39 50.670	W88 57.625
x40	N39 50.670	W88 57.635
x41	N39 50.670	W88 57.705
x42	N39 50.670	W88 57.715
x43	N39 50.670	W88 57.725
x44	N39 50.670	W88 57.735
x45	N39 50.670	W88 57.805
x46	N39 50.670	W88 57.815
x47	N39 50.670	W88 57.825
x48	N39 50.670	W88 57.835
x49	N39 50.680	W88 57.505
x50	N39 50.680	W88 57.515
x51	N39 50.680	W88 57.525
x52	N39 50.680	W88 57.535
x53	N39 50.680	W88 57.605
x54	N39 50.680	W88 57.615
x55	N39 50.680	W88 57.625
x56	N39 50.680	W88 57.635
x57	N39 50.680	W88 57.705
x58	N39 50.680	W88 57.715
x59	N39 50.680	W88 57.725
x60	N39 50.680	W88 57.735
x61	N39 50.680	W88 57.805
x62	N39 50.680	W88 57.815
x63	N39 50.680	W88 57.825
x64	N39 50.680	W88 57.835
