Code	Waypoint Name
GC30	Mingo
GC116	High Ridge (in Kirkwood, first St. Louis cache!)
GC1A6	Geocache
GC1C3	Super Bowl Stash
GC1EE	Ozark #1 (Maramec)
GC254	Turkey Creek
GC26A	Rocky Springs Cache
GC2BE	Stephens Lake
GC2ED	Rural Rendezvous
GC305	Gravois Creek
GC351	Prehistoric find
GC368	Cheif Illini Cache
GC3C8	Katy Trail 174
GC3C9	Scarab !
GC3DD	Bluff Side Treasure
GC43B	Hawkeye's Perch
GC550	Covered Bridge Cache
GC5BB	a walk in the park
GC5BE	Karen's Cache
GC5C5	Mooner's Hollow Cache
GC606	Fishers of Men
GC61F	Slices of Quince
GC63B	Man's Best Friend
GC650	PokeyMan #14: Kakuna
GC6D0	GEODUDE: PokeyMan #74
GC70B	Where the Buffalo Roam
GC710	Sitting Pretty Susie
GC712	CMPL Box
GC72D	BRUCE CACHE
GC730	Man vs. Nature
GC738	Hawkeye
GC75B	Valley of Coal     BikeMan#1
GC79D	Greens Cave Overlook III
GC7D3	The Yard Hill Letterbox
GC7ED	St. Louis Arch Virtual Cache
GC87D	Finger Lakes, MO
GC8A9	Rock Hill
GC938	Dumbo Cache
GC988	Vulpix : PokeyMan #37
GC989	Elephant Slide
GC98A	Oddish : PokeyMan # 43
GC9C1	ALL  SMILES   :o)     BikeMan#4
GCA2E	Pirates’ Treasure
GCAC9	ROAR !
GCACA	The Longest Neck
GCB87	Lincoln Log
GCBA8	1000 Words Cache
GCDF2	Courtois River Cache
GCE87	Watershed Cache
GCE8F	Beethoven's Uncle's Nephew
GCE9F	Cardio-Box : BikeMan#3
GCECC	Tallgrass Prairie Cache
GCF8C	Davidson Memorial Cache
GCFA1	THE MEXICAN
GCFA4	Chain Mail
GCFC7	Mickey's Cache
GC11DC	The Buck Stops Here
GC11DF	Ghosts
GC11E3	Freddie's  Hide-a-way
GC1262	Eddie's Money
GC12EB	Tilles Park - Hillary's Stash
GC13CE	Conways' Cache
GC1463	Keychain Exchange
GC146E	Hua Xia
GC1477	Trail of Trees
GC14BD	Woods - Woods
GC1692	Gilbert Lake Cache
GC1695	The Glades Cache
GC17BD	Elis Island Cache
GC17C1	Calhoun Point Cache
GC17CA	Wilson Cache
GC17D1	CCS-Titus Hollow Cache
GC17D3	Prairie Lake Cache
GC1859	Walker's Island
GC185A	Cahokia
GC18D6	Hazel Nut
GC18D8	Kircher4kids
GC18D9	Posen
GC194B	Wow!  Look at that!
GC194E	McCoy School House
GC194F	McCoy Burial Ground
GC196F	Doc Wright's Place
GC1971	Timber #1
GC19B8	Inspiration Point Cache
GC19C5	A Little Dobb'll Do Ya Part II
GC19D9	WoodHenge
GC1A9A	Pine Ridge
GC1AE9	Tyson Cache D&G
GC1B16	Three Fords
GC1BE1	Jed Johnson Dam
GC1CDF	World's Tallest
GC1D0F	Moving Cache-STL's Oldest Phyiscal  Cache
GC1D13	Glazebrook Cache
GC1DC3	Pray for the USA
GC1DE4	Cliff Cave Cache
GC1E18	Leave It to Beaver - Labor Day Cache
GC1E47	Missouri’s Highest Cache
GC1EEA	Lake Shelbyville #1
GC20CE	Hunter Cave
GC213F	ONE FOR THE U.S.A.
GC214B	Fawn Ridge
GC214D	Movie Time
GC2155	Coal Shaft Cache
GC21CC	Benton Lake Cache
GC21D4	Ha Ha Tonka & Devils Kitchen
GC2204	NATURES BEST WALK
GC2254	Chain of Rocks Cache
GC2258	RT66:IL-MO - Above the Trees & Mississippi Cache
GC225B	Blackberry Trail Cache
GC225D	Wayne Fitzgerrell Cache
GC22BA	Abondoned Solitude
GC22BB	Elephant Rocks!!!
GC22CC	Impress Me Cache
GC22EE	WF Old Lake Cache
GC2333	Garden Cache
GC2412	Cave With an Iron Door
GC2526	Englemann Incline
GC25F8	Little Meramec
GC25F9	Round by the River
GC25FD	44th Rest Cache
GC261D	Aggets (New Location) (2 B Archived 1/1/06)
GC266A	Global Cache
GC267F	Missouri River Overlook Cache
GC2683	Lewis Trail Cache
GC2688	St. Francks Wet Bambi
GC2695	Berryman #1
GC274B	Orienteering
GC2832	Mr. Wilson (Originally This is it?)
GC2874	Rt 66
GC28DF	Cache of Love
GC2981	St. Stanislaus
GC29C8	Burksville Cave
GC29D9	Duck Cache
GC29F2	ForEver Green
GC2A0D	Three Trees
GC2A18	Catawissa Party Cove
GC2A1D	Silver Lake Trail
GC2A24	Four Tree 44 Cache
GC2A34	Blue Springs Creek
GC2B17	R.R. Bridge Cache
GC2BB8	Charley Brown Park Cache
GC2BBE	Spillway Cache
GC2C96	Allen View
GC2CBE	Eddies Picnic Friends
GC2CC6	Private Snuffy's Box
GC2CC8	CD Exchange
GC2D10	Lake Shelbyville #2 (Walk In The Woods)
GC2D22	Aggets - Part Duex (2 B Archived 1/1/06)
GC2D48	Eagle Tower Cache
GC2DEF	Lunatic Fringe
GC2E0E	Twin Oaks
GC2E10	Cane Creek
GC2E8C	T.E. Bridge
GC2ECD	40 Fox and Owl Overlook
GC2F47	Kenny Lazzeri field
GC2FE0	The Savage Beast
GC3091	Matson Hill
GC3094	Quail Ridge #1
GC30F7	Whitecliff Cache Course
GC3195	Eerie 1
GC333D	Corporal Snuffy's Box
GC333E	Archie Stands Tall
GC33AB	In the Shadow of Glory
GC3476	BIG OAK TREES TOO
GC352E	The LetterBox formerly Known as: Across the Board
GC354D	WELDON SPRINGS KIDS CACHE
GC356A	Dresser Island
GC356F	Lady of the Rivers
GC358B	That Old Dirty Dog
GC35EB	Devil's Icebox
GC361F	Labarque Hideout Take 2
GC3640	Buder Upper
GC3644	WATER TOWER CACHE
GC3647	ButterCup LetterCache
GC3732	Bright Fowler
GC3733	Dollhead
GC374E	Harry's Secret Wizard Cache
GC381F	MILL  CREEK  ADVENTURE
GC3961	Michi Cache
GC3973	Treasure Hunt at McDonnell
GC3976	Clifty Cache by HXOC
GC3A8E	JMM Cache, The Clash of Hobbies
GC3B0D	Geronimo!
GC3BB8	Civil War 1
GC3BFB	The Roman (2 B Archived 1/1/06)
GC3D66	Cache, Cache, Cache, Ca$h Cache
GC3DB7	Red Hill
GC3E17	Yes He Would
GC3E9D	Jefferson Barracks Letterbox
GC3F0A	Please No Fires
GC3F99	Waypoints R Us
GC404E	Bubbles LetterCache
GC4076	Piasa Bird Cache
GC4077	Riverview Park Cache
GC40A3	Memory of the Railroad (The Game Stash)
GC4135	Black Hawk Springs
GC413A	The Gnarly Dude
GC419C	Larsony
GC429D	Smallpox Island
GC42ED	Nice View of Water
GC434F	High Water
GC4403	Collector's Cache
GC4550	Have GPS, Will Travel
GC4778	CCS-Swan Lake Cache
GC4821	Urban Wall
GC484C	The Journal
GC48B6	Bootleg Access Cache
GC48D3	The BIG Confluence Cache
GC495D	Seven-in-One Cache
GC4DDA	find it at founders
GC4DFF	Little Giant
GC4E0F	All Aboard!!!
GC4E11	One of 3500
GC4E60	Bluebird Triangle
GC4F2C	Woodlawn Cemetery
GC506B	Shelby's Loot
GC50A9	Lakeside Train Ride Sunset View
GC52E5	Rolla Monuments
GC52E9	By the Lights
GC55A5	Änglamarken
GC56A1	Cache On The Kickapoo
GC56A2	The Gentlemen
GC578A	Falling Spring Cache
GC59E0	Overlook Cache
GC59E4	What A View Cache
GC59E9	Beaver Falls Cache
GC59ED	Olin Nature Preserve Cache
GC5A39	CS - Nauvoo Beautiful Place
GC5A85	Rockbrige II
GC5B4E	Windsor OWLS
GC5D35	Memorial Day Cache
GC5D73	Sara's Treasure
GC5DD5	A Beautiful Place to Start (Nauvoo)
GC5DE8	Hippie Memorial Cache
GC5DFE	Choices
GC5E39	Hammond-Bean Cache
GC5E6E	EQUUS
GC5ED8	Coins
GC5FF6	Nauvoo Temple Quarry
GC6140	Lewis & Clark Cache # 2
GC61D0	Nauvoo's Tears
GC61E0	Tribute to Military Aviation
GC61E3	Siamese Pines
GC6374	Message in a Bottle
GC6429	Cat Lover's Cache
GC6473	Just A Walk in The Park
GC64F7	Standin on the corner....
GC6516	Bell Tower Cache
GC6544	Whistle Kid Cache #1
GC6716	Thanksgiving Drive
GC6768	The Twilight Zone
GC6915	Saline Branch Cache
GC6AD6	3 Trestles
GC6B19	Boot Camp
GC6B55	Amidon
GC6B9D	Blue's Clues
GC6C15	Fenton Microcache
GC6CEE	Fairview Park
GC6E22	Watchtower II
GC6E70	Madonna of the Trail #6
GC6EC2	Three's Company
GC6EC4	Environmentally Friendly Cache
GC700E	Madonna of the Trail #10
GC7015	Bookcrossing
GC702D	Tatooine (Star Wars Cache Game)
GC70FC	Disney Magic
GC710E	Fort Defiance, Confluence of America
GC716B	Goofy Ridge
GC7198	The Witch's Grave
GC71F0	McNair Park Cache
GC72C8	Industrial Park Cache
GC73A1	The Normal Tree
GC74ED	Frontier St. Charles
GC74EF	Redskin's Run
GC7533	Cornbread Bottom North
GC7565	St. Charles Tour #1
GC7568	St. Charles Tour #2
GC7569	St. Charles Tour #3
GC760E	Slap Shot
GC76ED	When Pigs Fly
GC7802	Google Search
GC780B	Walker1-Armenolos-Airebor Cache
GC784F	Tankyou Very Much
GC78C8	BRIDGE 1
GC7901	Some Disassembly Required
GC7A53	Bells and More
GC7A73	South Farms Cache
GC7B9E	Pumping Station
GC7BF6	T-Ration Dispenser
GC7C19	Old Railroad Cache
GC7CC4	Wet Your Whistle
GC7CD6	River View
GC7D02	Wilderness Park
GC7D18	Cagney's Foot Wash
GC7D3D	Harley over Missouri
GC7D47	I.A.F.F. National Fallen Memorial Virtual Cache
GC7D58	Devil's Icebox
GC7D59	Rockbridge
GC7D7C	W.M.Marberry Cache
GC7DC8	Catfish Heaven
GC7E38	Hill City Hotwheels Cache
GC7E99	G-O BUSCH
GC7EAA	Mini-Me
GC7EE2	Don't Bunnies Hop?
GC7EFD	Tankyou Very Much Too
GC7F37	Walker2 - Lorinel University - Airebor
GC7FBC	Wild Bird
GC7FEC	Urban bounty
GC8043	Rocky Tower
GC804D	Lost Caverns
GC8098	Rend Lake Waterfowl Observation Cache
GC80A0	Mardi Gras
GC81E5	Great Plains Museum
GC8230	Mail Order Tour of Webster Groves
GC82BF	Williamsville Cache
GC83D5	Ohm's Law
GC8400	THE EASY RIDER CACHE
GC84DB	Phort Knocks II
GC86DE	Moonshine Micro
GC875A	Play Ball
GC8775	Fluke Cache by Garret
GC877C	Monumental Multi-Cache
GC8811	168 Virtual Cache
GC886E	Louisiana Perches
GC890F	Castle cache
GC892C	The Black Hole
GC8938	Crossroads of America
GC894C	Zip (code) to the Grotto
GC897E	A Sunday Afternoon Cache
GC89A5	Cache with a View
GC8A43	Old Mark Twain Cache
GC8A5F	RedToyZ
GC8AD6	Fort Bellefontaine
GC8AD8	Fort Bellefontaine II
GC8ADA	Pipi's Linear Motion Hideout
GC8B01	Kid's Rest Cache
GC8B03	Kid's Rest Cache II
GC8B0E	Wow! Look at That! Another One!
GC8B47	Bear Creek
GC8C20	Siloam Springs
GC8C22	Between the Lakes
GC8C69	Dam View
GC8D18	Hard Rock Creek
GC8E1F	Just Horse-N-Around
GC8E37	The Corps of Discovery
GC8ED3	Fishbeards
GC8FBD	Buffalo Cache
GC9067	LuckyDuck II
GC9075	Forgotten Genius
GC90FE	Gilligan's Island - Nauvoo State Park
GC9141	Arches MiniCache
GC9142	S&B MiniCache
GC9163	The Shortest Distance
GC9182	Military Honors virtual
GC9212	The Dollar Bill Cache
GC925D	Konopapw Only
GC92F9	1872 Convenience
GC9307	Hinkson Woods
GC9309	Point DuSable
GC930C	Boone's Lick Mini
GC931F	Hidden Pond Cache
GC9369	Who's Spencer?
GC939A	A Walk in the Green
GC93BB	Tanks Bruce
GC93C3	Flighty  Fowl
GC93E7	Post-Apocalyptic Fishin' Hole
GC9432	The Pinnacles
GC9477	Oscar's Envy II
GC94E2	Tanks Again
GC94F1	Summer Journal
GC94FF	Lost Spring
GC9504	North Passage II
GC9508	Dresser Island II
GC9509	Pelican Island
GC9559	Roadside Park Cache
GC963C	Lincoln Sites I
GC963D	Paul Powell's Shoebox
GC963E	Secret Camp Site
GC969C	A LESSON IN HISTORY CACHE
GC96AA	Prairie Path Cache
GC96CA	Reflection
GC9739	Tyler's First
GC973A	Tyler's Oak
GC976B	Jailhouse Rock
GC97DF	Strider Only
GC985B	The Steps of La Salle
GC98BD	Stonyridge
GC98BF	Bothwell Lodge
GC98C1	The Last Katy Trail Cache
GC98C6	Clinton Square
GC98E0	Springs of Grant's Trail
GC9992	Cloak and Dagger, Hammer and Sickle
GC9AE3	Burn Rubber II
GC9B68	Hubbard Woods Hollow Cache
GC9B73	Bollinger Mill Cache
GC9B83	St. Louis Area Geocachers Assn. Picnic Cache
GC9B87	JC Keychain Xchange
GC9B8B	A Capitol Cache
GC9B8D	Time in a Bottle
GC9B8F	Hometown Memories
GC9B9D	$71,698.11 per Pound
GC9C2C	Prairie Pump
GC9C46	Foot of the Throne
GC9C68	school's in session
GC9D7A	Tiger Hollow
GC9DE7	The Picnic Decoy Cache
GC9E46	Valley View
GC9F29	KATY- Lamine Cash Cache
GC9F43	Signs, Signs...every where signs!
GC9F72	Critters
GC9FEE	 missouri records
GCA032	Go Play in Traffic
GCA055	The Great Columbian Multicache
GCA06F	Stone Arch
GCA0A9	Froggy went a courtin'
GCA151	All Wound Up
GCA1CF	Ag Park
GCA2CC	Weiss 18 (3WE)
GCA2CD	Westside Cache
GCA2D6	Fabick
GCA31D	The Maplewood Mini Multi Micro Mystery Cache (5M)
GCA371	Murder
GCA451	Hermann's Founding Father
GCA45A	Berryman #2
GCA475	Hermann's Most Influential Citizen
GCA494	White Shadow cache
GCA4D1	Jesus Cache
GCA51A	Continuing Education
GCA584	Oak Trail Cache
GCA59F	Gasconade County Courthouse
GCA60B	Trailwoods Mini
GCA610	The Heist
GCA626	Oochy Waa Waa!
GCA6FD	Stick'em Up
GCA700	Cedar
GCA714	The Old Iron Road
GCA72B	SLY FOX
GCA757	Tiny Christmas
GCA7BB	Meinrod’s  Curious Little Spot
GCA7C0	Under cover
GCA7D0	Drive By Virtual Cache
GCA7FA	Speculate
GCA827	Maddog's Mini-Cache
GCA848	ABE in LINCOLN
GCA8A3	The Medicinal Cache
GCA8E6	Mark Twain
GCA930	bucket -o- goodies
GCA94B	The Barn
GCA950	Judgment Tree
GCA9B3	Homer
GCA9CF	Mitchell's Kewl Kache
GCA9DE	Expensive Real Estate
GCA9E4	He Was a Big Man - Last Home
GCA9EE	He Was a Big Man - First Resting Place
GCA9F8	Old Rusty
GCAA00	KATY Trail - Augusta
GCAA09	KATY Trail - Climbing Cliffs
GCAA88	Eagel Bluffs Cache
GCAA89	Moore Memorial Park
GCAAD2	Emmy Multicache
GCAAF2	Indian Mounds
GCAB23	Daryl & Daryl *** 2B Archived 2/11/07 ***
GCAB37	Callaway Creek Valley
GCAB45	Old Rusty II
GCABAB	Lakeside
GCABB8	You deserve a break today!
GCABBB	Washingtons Heritage Park
GCABF1	The High Road
GCABF8	Washington's Veterans Memorial Park
GCAC01	King Cache
GCAC72	Another Stone Arch
GCAC75	Fall Creek Falls
GCAC93	Winter Double Tree
GCACA6	Did Harl have a Dimple?
GCAD41	Mark Twain Forest Cache
GCAD92	Boomer's Monument
GCAD9F	Malcolm Terrace
GCADF6	Wilderness Park
GCADF8	Cross-Country
GCAE15	Frene Valley Overlook
GCAE18	McKittrick's Old Rusty
GCAE34	American Pride
GCAEC6	st john's cache
GCAEC7	taos cematary cache
GCAECB	jim's first cache
GCAF6D	Brooke's Cache
GCAFF3	Noah's Ark
GCB008	T-I-M-B-E-R-R-R-R-R
GCB01B	The Barn Two
GCB024	Laughing Waters Cache
GCB029	Ol' Hickory Cache
GCB04B	foreign exchange cache
GCB0A7	Where Joseph died
GCB0AC	The floodwall
GCB104	pineridge 2
GCB15F	A Mother of a Cache
GCB200	WESLEY WAY
GCB360	Get Your Kicks
GCB396	Great River Road Cache
GCB3E7	Sheba
GCB40A	Triangulation Sensation!
GCB492	GWC Cache
GCB4C4	Missouri's First State Capitol
GCB518	Hopper 1
GCB53D	purple's shower
GCB558	Union Covered Bridge
GCB582	Fall Creek Lookout
GCB585	Sweet Baby Twain
GCB60C	hartsburg kt cache
GCB623	Indian Hills Book Box
GCB6A9	runge micro cache
GCB6E2	The King of All Playgrounds
GCB713	My Little Hercules
GCB719	Hooter's Cache
GCB78E	Shen Ku
GCB7E7	Battle of Fredericktown
GCB857	Historic Cabin
GCB88D	McCracken Blvd.
GCB8A7	Hutson Memorial
GCB9EF	Levee Loot
GCBA03	Makenzie's Surprise Cache
GCBA2A	History of Flight
GCBA2C	The Iron Curtain
GCBABF	Burr Oak Cache
GCBB0B	Lost Lake Cache
GCBB6B	confederate memorial
GCBB6C	Lewis and Clark 3
GCBB6D	May the Force Be With You
GCBB6F	Alton Federal Prison
GCBB85	THE BEACH
GCBBAB	Paducah Park
GCBBE9	Driving Mr. D . . .
GCBCBF	Cape Rock
GCBD27	Trashcann Bridge
GCBD29	Trashcann's old stomping ground
GCBE4C	Acts of Congress
GCBEB4	I-55 Southbound  Arkansas Welcome
GCBFB2	The Gulf (Blue Hole)
GCBFC0	Gads Hill (First Missouri Train Robbery)
GCC03E	Guiding Light
GCC161	Western Union
GCC184	Bender's RR
GCC1E5	Carter's Cape Woods
GCC1EF	Lover's Leap (Round 2)
GCC29C	TRI-STATE CACHE DASH
GCC323	504 pir
GCC368	Island Adventure
GCC42C	Ten Yards
GCC42D	3 Towns - 1 Park
GCC544	Easy as 1-2-3
GCC5DC	Phantom  Rider Cache
GCC707	Wood Spirit
GCC768	Johnny Cache
GCC827	Byrne Out (To be archived 1/3/04)
GCC837	Murphy's Junkyard II
GCC841	Revenge
GCC9F4	Nice walk
GCCA00	Treen Gree
GCCA94	Shimek State Forest Cache
GCCA96	Black Jack
GCCAB4	LOVE 2 TRAVEL
GCCAEE	Arnold Cache
GCCAF8	School House Rock
GCCB29	Find Me
GCCB92	Blue Monkey 1
GCCB93	Bad Karma
GCCB95	Mr. Yuk
GCCB96	Black Knight
GCCC06	Meramec Highlands Quarry
GCCC17	Little Dixie Buddy Cache
GCCC5E	Going to a Pirates Game Cache
GCCCD3	Tennis Anyone?
GCCD0A	This Cache Has No Title
GCCD70	Animal Craze
GCCD87	Cruisin'
GCCDCC	Clydesdale Cache
GCCDCE	Oak Knoll Cache #2
GCCE2A	ZOOM - 1
GCCE2B	ZOOM - 2
GCCE88	Lower Meramec Multi-Cache
GCCEB2	Valley Walk
GCCECA	Play This, Schroeder
GCCECE	RiGorouS cache
GCCED5	Seibert Cave
GCCF26	Brussels Brig
GCCF2A	Newburg Culture
GCCFE9	Down on the FarmTravel Bug Cache
GCCFEB	SLAGA Lincoln County Chapter Cache
GCCFF7	spot of tea
GCD054	Fowler Creek Bottoms
GCD197	carondolet jr.
GCD19D	County Line Cache
