@lat	@lon	name	desc	sym	type	@href	text	gsak:User2	gsak:UserSort	gsak:Code	@available	@archived	groundspeak:placed_by	groundspeak:type	groundspeak:container	groundspeak:difficulty	groundspeak:terrain	groundspeak:short_description	groundspeak:long_description	groundspeak:encoded_hints
38.7725	-90.3961	DCSI	DCSI - Meridian by roelsch (1/1)	START	Geocache|Other		DCSI - Meridian by roelsch		1010	DCSI	True	False	roelsch	Other	Other	1	1	OrderedDict([('@html', 'False')])	OrderedDict([('@html', 'False')])	
39.067567	-88.706567	AC7FZR3	Access Come Fly With Me by roelsch (1/1)	Access	Geocache|Other		Access Come Fly With Me by roelsch		1020	AC7FZR3	True	False	roelsch	Other	Other	1	1	OrderedDict([('@html', 'False')])	OrderedDict([('@html', 'False')])	
39.062683	-88.702083	GC7FZR3	Come Fly With Me by 1954Gator (1.5/2)	Geocache	Geocache|Traditional Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=174d8209-62ac-44ad-9ea6-cf30e6e8b85c	Come Fly With Me by 1954Gator		1030	GC7FZR3	True	False	1954Gator	Traditional Cache	Other	1.5	2	OrderedDict([('@html', 'True')])	OrderedDict([('@html', 'True'), ('#text', '<p>Small toy container. After a short walk you will find this cache about 5 yards off the trail. Bring your own TOTT and Pen. Do not go down the hill. Permission has been given to geocache at Ballard Nature Center.\xa0</p>\nNo night geocaching.')])	In the title
39.10245	-88.004517	GC1YCNZ	Bert’s Revenge!! by PBJack (1/1.5)	Geocache	Geocache|Traditional Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=005a9472-32c0-47aa-b9e0-7dead951f381	Bert’s Revenge!! by PBJack		1040	GC1YCNZ	True	False	PBJack	Traditional Cache	Not chosen	1	1.5	OrderedDict([('@html', 'False')])	"OrderedDict([('@html', 'False'), ('#text', ""Only great minds can read this \nThis is weird, but \ninteresting! \n\nfi yuo cna \nraed tihs, yuo hvae a sgtrane mnid too \n\nCna yuo raed tihs? Olny 55 plepoe \nout of 100 can. \n\ni cdnuolt blveiee taht I cluod aulaclty uesdnatnrd waht \nI was rdanieg. The phaonmneal pweor of the hmuan mnid, aoccdrnig to a rscheearch \nat Cmabrigde Uinervtisy, it dseno't mtaetr in waht oerdr the ltteres in a wrod \nare, the olny iproamtnt tihng is taht the frsit and lsat ltteer be in the rghit \npclae. The rset can be a taotl mses and you can sitll raed it whotuit a . \nTihs is bcuseae the huamn mnid deos not raed ervey ltet er by istlef, but the \nwrod as a wlohe. Azanmig huh? yaeh and I awlyas tghuhot slpeling was ipmorantt! \nif you can raed tihs uoy sluohd  hvae no pboerlm whit the hnit!"")])"	It in the ceadeer tere!
39.121467	-88.024517	AC1XNB8	Access Welcome to...Yale! by roelsch (1/1)	Access	Geocache|Other		Access Welcome to...Yale! by roelsch		1050	AC1XNB8	True	False	roelsch	Other	Other	1	1	OrderedDict([('@html', 'False')])	OrderedDict([('@html', 'False')])	
39.121917	-88.024383	GC1XNB8	Welcome to...Yale! by gram & gramps z (1.5/1.5)	Geocache	Geocache|Traditional Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=92641588-ebf3-4bd3-a88f-39c31935d683	Welcome to...Yale! by gram & gramps z		1060	GC1XNB8	True	False	gram & gramps z	Traditional Cache	Not chosen	1.5	1.5	"OrderedDict([('@html', 'True'), ('#text', 'Welcome to Jasper County! This series will take you on a tour of\nour great county showing you some villages and some ""map worthy""\nspots. I\'ve lived here my whole life but had never visited some of\nthese places. Hope you enjoy the tour.... and the caches! This\ncache is between a micro and small sized. Bring your own\npen.')])"	"OrderedDict([('@html', 'True'), ('#text', '<img src=""http://img.geocaching.com/cache/8cfcb909-d5eb-42f2-a7a2-832a22e97591.jpg"" />')])"	Magnetic.
39.205867	-88.008517	GC1Y213	Between Clark And Cumberland by Golf and Horses and Laugh and a Half (1/1.5)	Geocache	Geocache|Traditional Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=3fbcbc1e-31ca-4c0d-b8b9-e0ef1eee3389	Between Clark And Cumberland by Golf and Horses and Laugh and a Half		1070	GC1Y213	True	False	Golf and Horses and Laugh and a Half	Traditional Cache	Micro	1	1.5	OrderedDict([('@html', 'False')])	OrderedDict([('@html', 'False'), ('#text', 'Quick park and grab.  The cache is located on the county line road between Clark and Cumberland counties.  Neither  county wants to spend much money on this road.  However it is plenty good enough for the farmers uses.  The property owner knows the cache is there.')])	
39.21005	-87.990417	GC1Y20K	Trail To Moonshine by Golf and Horses and Laugh and a Half (1.5/2)	Geocache	Geocache|Traditional Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=70e377b5-b585-4ea8-8973-15ecd8b6e2bb	Trail To Moonshine by Golf and Horses and Laugh and a Half		1080	GC1Y20K	True	False	Golf and Horses and Laugh and a Half	Traditional Cache	Small	1.5	2	OrderedDict([('@html', 'False'), ('#text', 'Level ground and will be some weeds.')])	"OrderedDict([('@html', 'False'), ('#text', ""The container is a lock n lock with camo tape placed where it can be easily seen when you get to the location. Be careful if you are allergic to poison ivy as there is some in the area.  \n\nYears ago, (back in the teens and twenties), the area of Rt. 49 for the next couple of miles north went through a low area almost like a swamp.  I have been told that the locals and probably with some help from the state laid large logs side by side to keep the wagons and vehicles from getting stuck.  It was probably a pretty rough ride!\n\nThis cache is on private property with permission of the owner.  There is an entrance where you can pull in off the highway.  It's a little narrow, so be careful.  Please contact me if there is a problem  with the cache."")])"	
39.2467	-88.05245	AC1MHZ4	Access Along the York Road by roelsch (1/1)	Access	Geocache|Other		Access Along the York Road by roelsch		1090	AC1MHZ4	True	False	roelsch	Other	Other	1	1	OrderedDict([('@html', 'False')])	OrderedDict([('@html', 'False')])	
39.247017	-88.05285	GC1MHZ4	Along the York Road by Sparayman75 & Toadpossy (2/1.5)	Geocache	Geocache|Traditional Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=d957ae55-ce4f-493b-ac0f-7a71304f8db4	Along the York Road by Sparayman75 & Toadpossy		1100	GC1MHZ4	True	False	Sparayman75 & Toadpossy	Traditional Cache	Regular	2	1.5	OrderedDict([('@html', 'False'), ('#text', 'This is a small cemetery located along the York Road in Cumberland County. There is a small parking strip off the side of the road.')])	OrderedDict([('@html', 'False'), ('#text', 'You are looking for a cammoed lock & lock container. Contents are various small trade items, a TB, $5.00 to the FTF and a log book.')])	Its at the base of a hidden stone.
39.221383	-88.11675	AC20TJV	Access Paul Cemetery by roelsch (1/1)	Access	Geocache|Other		Access Paul Cemetery by roelsch		1110	AC20TJV	True	False	roelsch	Other	Other	1	1	OrderedDict([('@html', 'False')])	OrderedDict([('@html', 'False')])	
39.2199	-88.113917	PK20TJV	Parking for Paul Cemetery by roelsch (1/1)	Parking	Geocache|Other		Parking for Paul Cemetery by roelsch		1120	PK20TJV	True	False	roelsch	Other	Other	1	1	OrderedDict([('@html', 'False')])	"OrderedDict([('@html', 'False'), ('#text', ""When you turn off the road at the cemetery sign it looks like you are in someone's driveway.  The cemetery is located at the end of the road so don't be afraid to drive back.  Bring your pen along and be careful if it is very muddy.\n\nMy G-G-G-G-Grandparents, Joseph and Nancy Strader are buried in this cemetery."")])"	check the post
